run_id,design,clock_period,setup_wns,setup_ws,setup_tns,hold_wns,hold_ws,hold_tns,setup_slack,hold_slack,area,utilization,power_total,power_internal,power_switching,power_leakage,slew_violations,cap_violations,fanout_violations,route_drc_errors,route_wirelength,route_vias,grt_wirelength,grt_vias,antenna_violations,congestion_overflow,congestion_status,worst_setup_corner,worst_hold_corner,timing_corners_count,decision,source_files,field_sources,missing_fields,confidence,parser_warnings
clock_8,pm32,8,,,,,,,,,,,,,,,,,,,,,,,,,not_available,,,,No metrics available,,,"setup_wns,setup_ws,setup_tns,hold_wns,hold_ws,hold_tns,area,utilization,power_total,power_internal,power_switching,power_leakage,slew_violations,cap_violations,fanout_violations,route_drc_errors,route_wirelength,route_vias,grt_wirelength,grt_vias,antenna_violations",none,
clock_10,pm32,10,,,,,,,,,,,,,,,,,,,,,,,,,not_available,,,,No metrics available,,,"setup_wns,setup_ws,setup_tns,hold_wns,hold_ws,hold_tns,area,utilization,power_total,power_internal,power_switching,power_leakage,slew_violations,cap_violations,fanout_violations,route_drc_errors,route_wirelength,route_vias,grt_wirelength,grt_vias,antenna_violations",none,
clock_11,pm32,11,0,1.237121551327999,0,0,0.11902446032334803,0,1.237121551327999,0.11902446032334803,15942.8,0.851986,0.003370631719008088,0.002341096056625247,0.0010295164538547397,1.9315431032e-08,247,0,1,0,37368,7603,53219,15,0,,routing_data_found,max_ss_100C_1v60,min_ff_n40C_1v95,9,Timing MET with reasonable margin,results/important_reports/metrics_clock11.json;results/important_reports/summary_clock11.rpt,"{""setup_wns"": ""json:timing__setup__wns"", ""setup_ws"": ""json:timing__setup__ws"", ""setup_tns"": ""json:timing__setup__tns"", ""hold_wns"": ""json:timing__hold__wns"", ""hold_ws"": ""json:timing__hold__ws"", ""hold_tns"": ""json:timing__hold__tns"", ""area"": ""json:design__core__area"", ""utilization"": ""json:design__instance__utilization"", ""power_total"": ""json:power__total"", ""power_internal"": ""json:power__internal__total"", ""power_switching"": ""json:power__switching__total"", ""power_leakage"": ""json:power__leakage__total"", ""slew_violations"": ""json:design__max_slew_violation__count"", ""cap_violations"": ""json:design__max_cap_violation__count"", ""fanout_violations"": ""json:design__max_fanout_violation__count"", ""route_drc_errors"": ""json:route__drc_errors"", ""route_wirelength"": ""json:route__wirelength"", ""route_vias"": ""json:route__vias"", ""grt_wirelength"": ""json:global_route__wirelength"", ""grt_vias"": ""json:global_route__vias"", ""antenna_violations"": ""json:antenna__violating__nets""}",,high,
clock_12,pm32,12,0,3.2371199970157205,0,0,0.11902446032334803,0,3.2371199970157205,0.11902446032334803,15942.8,0.851986,0.0028088639955967665,0.0019509141566231847,0.0008579305722378194,1.9315431032e-08,247,0,1,0,37368,7603,53219,15,0,,routing_data_found,max_ss_100C_1v60,min_ff_n40C_1v95,9,Timing MET with reasonable margin,results/important_reports/metrics_clock12.json;results/important_reports/summary_clock12.rpt,"{""setup_wns"": ""json:timing__setup__wns"", ""setup_ws"": ""json:timing__setup__ws"", ""setup_tns"": ""json:timing__setup__tns"", ""hold_wns"": ""json:timing__hold__wns"", ""hold_ws"": ""json:timing__hold__ws"", ""hold_tns"": ""json:timing__hold__tns"", ""area"": ""json:design__core__area"", ""utilization"": ""json:design__instance__utilization"", ""power_total"": ""json:power__total"", ""power_internal"": ""json:power__internal__total"", ""power_switching"": ""json:power__switching__total"", ""power_leakage"": ""json:power__leakage__total"", ""slew_violations"": ""json:design__max_slew_violation__count"", ""cap_violations"": ""json:design__max_cap_violation__count"", ""fanout_violations"": ""json:design__max_fanout_violation__count"", ""route_drc_errors"": ""json:route__drc_errors"", ""route_wirelength"": ""json:route__wirelength"", ""route_vias"": ""json:route__vias"", ""grt_wirelength"": ""json:global_route__wirelength"", ""grt_vias"": ""json:global_route__vias"", ""antenna_violations"": ""json:antenna__violating__nets""}",,high,
clock_15,pm32,15,,,,,,,,,,,,,,,,,,,,,,,,,not_available,,,,No metrics available,,,"setup_wns,setup_ws,setup_tns,hold_wns,hold_ws,hold_tns,area,utilization,power_total,power_internal,power_switching,power_leakage,slew_violations,cap_violations,fanout_violations,route_drc_errors,route_wirelength,route_vias,grt_wirelength,grt_vias,antenna_violations",none,
clock_18,pm32,18,,,,,,,,,,,,,,,,,,,,,,,,,not_available,,,,No metrics available,,,"setup_wns,setup_ws,setup_tns,hold_wns,hold_ws,hold_tns,area,utilization,power_total,power_internal,power_switching,power_leakage,slew_violations,cap_violations,fanout_violations,route_drc_errors,route_wirelength,route_vias,grt_wirelength,grt_vias,antenna_violations",none,
clock_20,pm32,20,,,,,,,,,,,,,,,,,,,,,,,,,not_available,,,,No metrics available,,,"setup_wns,setup_ws,setup_tns,hold_wns,hold_ws,hold_tns,area,utilization,power_total,power_internal,power_switching,power_leakage,slew_violations,cap_violations,fanout_violations,route_drc_errors,route_wirelength,route_vias,grt_wirelength,grt_vias,antenna_violations",none,
clock_22,pm32,22,,,,,,,,,,,,,,,,,,,,,,,,,not_available,,,,No metrics available,,,"setup_wns,setup_ws,setup_tns,hold_wns,hold_ws,hold_tns,area,utilization,power_total,power_internal,power_switching,power_leakage,slew_violations,cap_violations,fanout_violations,route_drc_errors,route_wirelength,route_vias,grt_wirelength,grt_vias,antenna_violations",none,
clock_25,pm32,25,0,13.237121107238776,0,0,0.11902446032334803,0,13.237121107238776,0.11902446032334803,15942.8,0.851986,0.0013482653303071856,0.0009364390862174332,0.0004118068900424987,1.9315431032e-08,247,0,1,0,37368,7603,53219,15,0,,routing_data_found,max_ss_100C_1v60,min_ff_n40C_1v95,9,Timing MET with large margin: CLOCK_PERIOD can be reduced,results/important_reports/metrics_run1.json;results/important_reports/summary_run1.rpt,"{""setup_wns"": ""json:timing__setup__wns"", ""setup_ws"": ""json:timing__setup__ws"", ""setup_tns"": ""json:timing__setup__tns"", ""hold_wns"": ""json:timing__hold__wns"", ""hold_ws"": ""json:timing__hold__ws"", ""hold_tns"": ""json:timing__hold__tns"", ""area"": ""json:design__core__area"", ""utilization"": ""json:design__instance__utilization"", ""power_total"": ""json:power__total"", ""power_internal"": ""json:power__internal__total"", ""power_switching"": ""json:power__switching__total"", ""power_leakage"": ""json:power__leakage__total"", ""slew_violations"": ""json:design__max_slew_violation__count"", ""cap_violations"": ""json:design__max_cap_violation__count"", ""fanout_violations"": ""json:design__max_fanout_violation__count"", ""route_drc_errors"": ""json:route__drc_errors"", ""route_wirelength"": ""json:route__wirelength"", ""route_vias"": ""json:route__vias"", ""grt_wirelength"": ""json:global_route__wirelength"", ""grt_vias"": ""json:global_route__vias"", ""antenna_violations"": ""json:antenna__violating__nets""}",,high,
clock_30,pm32,30,0,17.237120663149554,0,0,0.11902446032334803,0,17.237120663149554,0.11902446032334803,15942.8,0.851986,0.0011235575657337904,0.0007803658372722566,0.0003431723453104496,1.9315431032e-08,247,0,1,0,37368,7603,53219,15,0,,routing_data_found,max_ss_100C_1v60,min_ff_n40C_1v95,9,Timing MET with large margin: CLOCK_PERIOD can be reduced,results/important_reports/metrics_run2.json;results/important_reports/summary_run2.rpt,"{""setup_wns"": ""json:timing__setup__wns"", ""setup_ws"": ""json:timing__setup__ws"", ""setup_tns"": ""json:timing__setup__tns"", ""hold_wns"": ""json:timing__hold__wns"", ""hold_ws"": ""json:timing__hold__ws"", ""hold_tns"": ""json:timing__hold__tns"", ""area"": ""json:design__core__area"", ""utilization"": ""json:design__instance__utilization"", ""power_total"": ""json:power__total"", ""power_internal"": ""json:power__internal__total"", ""power_switching"": ""json:power__switching__total"", ""power_leakage"": ""json:power__leakage__total"", ""slew_violations"": ""json:design__max_slew_violation__count"", ""cap_violations"": ""json:design__max_cap_violation__count"", ""fanout_violations"": ""json:design__max_fanout_violation__count"", ""route_drc_errors"": ""json:route__drc_errors"", ""route_wirelength"": ""json:route__wirelength"", ""route_vias"": ""json:route__vias"", ""grt_wirelength"": ""json:global_route__wirelength"", ""grt_vias"": ""json:global_route__vias"", ""antenna_violations"": ""json:antenna__violating__nets""}",,high,
